date,close,open,high,low
20220711,"2,553.70","2,575.70","2,588.00","2,539.00"
20220708,"2,618.00","2,567.20","2,632.30","2,561.30"
20220707,"2,605.90","2,560.20","2,616.40","2,555.40"
20220706,"2,494.10","2,477.30","2,520.80","2,456.20"
20220705,"2,477.60","2,391.80","2,478.30","2,386.70"
20220701,"2,458.50","2,512.10","2,524.00","2,429.90"
20220630,"2,556.30","2,548.60","2,602.60","2,514.40"
20220629,"2,584.00","2,605.00","2,610.70","2,553.50"
20220628,"2,642.10","2,724.50","2,758.50","2,640.80"
20220627,"2,713.50","2,745.80","2,749.70","2,692.80"
20220624,"2,718.50","2,639.80","2,719.50","2,639.40"
20220623,"2,602.70","2,633.00","2,636.80","2,563.70"
20220622,"2,619.70","2,603.60","2,658.80","2,602.90"
20220621,"2,649.40","2,638.50","2,685.00","2,633.60"
20220617,"2,578.50","2,581.70","2,598.60","2,523.20"
20220616,"2,566.90","2,648.20","2,655.10","2,537.70"
20220615,"2,737.50","2,726.10","2,780.60","2,674.00"
20220614,"2,689.90","2,707.30","2,713.50","2,658.40"
20220613,"2,673.00","2,742.10","2,765.40","2,665.60"
20220610,"2,832.00","2,894.70","2,911.80","2,828.50"
20220609,"2,937.80","2,995.80","3,047.70","2,937.40"
20220608,"3,019.10","3,069.80","3,082.40","3,000.50"
20220607,"3,093.00","3,025.90","3,098.70","3,008.00"
20220606,"3,062.70","3,121.90","3,132.40","3,047.20"
20220603,"3,062.60","3,080.50","3,103.40","3,047.90"
20220602,"3,158.00","3,042.00","3,158.60","3,037.00"
20220601,"3,049.00","3,117.30","3,130.10","3,011.20"
20220531,"3,098.70","3,110.10","3,126.90","3,052.70"
20220527,"3,115.40","3,048.10","3,120.90","3,046.70"
20220526,"2,994.60","2,850.00","3,006.20","2,848.50"
20220525,"2,882.90","2,812.10","2,905.90","2,809.70"
20220524,"2,827.00","2,853.70","2,863.50","2,797.90"
20220523,"2,898.40","2,861.30","2,904.20","2,844.10"
20220520,"2,882.70","2,937.70","2,939.50","2,758.70"
20220519,"2,890.30","2,901.10","2,960.10","2,867.10"
20220518,"2,908.00","3,012.00","3,054.80","2,897.90"
20220517,"3,066.50","3,007.50","3,071.60","2,990.30"
20220516,"2,920.10","2,929.90","2,967.80","2,912.20"
20220513,"2,970.40","2,880.00","2,988.30","2,863.40"
20220512,"2,827.20","2,781.80","2,851.80","2,754.70"
20220511,"2,811.90","2,872.90","2,937.40","2,807.00"
20220510,"2,900.10","2,918.60","2,948.60","2,834.90"
20220509,"2,829.10","2,918.40","2,949.90","2,817.20"
20220506,"2,982.10","2,990.50","3,044.80","2,926.10"
20220505,"3,005.50","3,103.60","3,105.50","2,965.70"
20220504,"3,163.80","3,071.20","3,166.70","2,974.70"
20220503,"3,044.90","3,012.20","3,067.40","2,994.90"
20220502,"3,022.20","2,936.00","3,024.80","2,905.40"
20220429,"2,919.70","3,006.50","3,065.70","2,916.10"
20220428,"3,056.40","2,968.50","3,087.00","2,919.50"
20220427,"2,894.90","2,879.80","2,964.50","2,875.40"
20220426,"2,909.10","3,006.90","3,006.90","2,908.10"
20220425,"3,042.40","2,964.60","3,045.70","2,964.60"
20220422,"2,989.80","3,054.60","3,069.50","2,988.40"
20220421,"3,058.70","3,185.80","3,216.80","3,046.70"
20220420,"3,142.20","3,205.70","3,227.20","3,135.40"
20220419,"3,153.20","3,073.30","3,157.50","3,057.40"
20220418,"3,085.20","3,018.00","3,110.00","3,018.00"
20220414,"3,028.20","3,131.40","3,132.60","3,026.80"
20220413,"3,119.30","3,065.30","3,136.60","3,053.60"
20220412,"3,047.50","3,124.30","3,145.80","3,035.90"
20220411,"3,055.10","3,068.00","3,099.40","3,052.10"
20220408,"3,120.20","3,164.90","3,173.50","3,116.70"
20220407,"3,197.40","3,188.90","3,226.80","3,134.40"
20220406,"3,194.00","3,198.00","3,246.90","3,165.00"
20220405,"3,269.80","3,396.40","3,400.60","3,264.40"
20220404,"3,424.90","3,380.60","3,428.70","3,368.30"
20220401,"3,366.60","3,454.10","3,455.80","3,317.90"
20220331,"3,429.00","3,503.70","3,523.70","3,427.50"
20220330,"3,508.60","3,605.30","3,611.20","3,493.70"
20220329,"3,625.60","3,601.40","3,633.10","3,557.70"
20220328,"3,547.20","3,501.80","3,548.50","3,450.90"
20220325,"3,525.30","3,526.00","3,535.40","3,467.00"
20220324,"3,532.70","3,398.00","3,533.60","3,384.30"
20220323,"3,360.30","3,411.70","3,457.20","3,359.40"
20220322,"3,445.90","3,421.90","3,485.20","3,417.10"
20220321,"3,423.20","3,413.70","3,450.50","3,365.20"
20220318,"3,432.30","3,338.00","3,443.70","3,324.70"
20220317,"3,364.50","3,298.50","3,365.10","3,280.70"
20220316,"3,340.10","3,233.00","3,340.90","3,202.40"
20220315,"3,180.20","3,073.80","3,186.60","3,057.80"
